routeStationId	latitude	longitude	index
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.94059	100.897739	3
b5d290ec-8baa-4b7a-ad37-921199a973bc	12.926331	100.875498	1
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924114	100.872533	2
f19836b0-5857-425e-8743-4f53eb6f2059	12.919834	100.893966	7
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.929191	100.888521	8
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924348	100.870056	12
f8726964-4463-4ae2-af8e-61b0686f68b8	12.926261	100.890297	16
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.941303	100.897525	5
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924302	100.867528	23
f19836b0-5857-425e-8743-4f53eb6f2059	12.918944	100.89667	0
2f278289-6d34-4aab-b03d-2e9d53878732	12.918608	100.8966	2
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.916794	100.89647	16
ef93960a-e6a2-49eb-a3eb-44419803f074	12.916852	100.896495	1
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.939364	100.897674	1
f8726964-4463-4ae2-af8e-61b0686f68b8	12.925481	100.890676	13
4c4d9aa0-be42-4ce1-945f-a1fa0a017d5d	12.941053	100.889638	2
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.92435	100.871813	5
cf6261e1-ac36-41de-a0f2-2b62ec3480ea	12.938628	100.902513	1
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.929073	100.88868	6
ef93960a-e6a2-49eb-a3eb-44419803f074	12.916794	100.89647	0
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.942134	100.896395	7
b03040e5-a635-45c6-b51c-bf32334b1af8	12.939145	100.899694	1
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.915982	100.899605	10
fa455ce4-3f00-426e-bd90-4111adfb4dd3	12.94209	100.88565	3
1f12eb9f-b1a1-40a2-bd8a-31380bf0321a	12.94358	100.893562	4
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924035	100.867934	20
a88cb99a-a15b-42b0-a2bf-d9be23c9e2e9	12.926986	100.879376	2
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.91495	100.900808	5
f19836b0-5857-425e-8743-4f53eb6f2059	12.919415	100.895769	4
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.929543	100.886768	2
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.913129	100.90157	2
1f12eb9f-b1a1-40a2-bd8a-31380bf0321a	12.942815	100.894309	2
f8726964-4463-4ae2-af8e-61b0686f68b8	12.921193	100.89226	3
b03040e5-a635-45c6-b51c-bf32334b1af8	12.939729	100.900264	0
f8726964-4463-4ae2-af8e-61b0686f68b8	12.926587	100.889966	17
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.923869	100.86874	17
cf6261e1-ac36-41de-a0f2-2b62ec3480ea	12.938428	100.902623	0
f19836b0-5857-425e-8743-4f53eb6f2059	12.920292	100.892922	9
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.92852	100.888521	5
2f278289-6d34-4aab-b03d-2e9d53878732	12.924122	100.898627	0
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.914633	100.899462	7
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.916571	100.897444	14
1f12eb9f-b1a1-40a2-bd8a-31380bf0321a	12.943325	100.894344	3
a88cb99a-a15b-42b0-a2bf-d9be23c9e2e9	12.927444	100.883523	0
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.914612	100.899487	6
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924365	100.867724	22
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.92421	100.869814	13
b5d290ec-8baa-4b7a-ad37-921199a973bc	12.923759	100.872984	6
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.929456	100.88792	1
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.927086	100.889416	1
5064930b-a65b-4ac0-9853-b4ff924f67dc	12.92499	100.904746	0
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.923971	100.872676	1
f8726964-4463-4ae2-af8e-61b0686f68b8	12.922295	100.891745	6
4c4d9aa0-be42-4ce1-945f-a1fa0a017d5d	12.941136	100.890534	1
1f12eb9f-b1a1-40a2-bd8a-31380bf0321a	12.942785	100.891444	6
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.927314	100.888891	2
cf6261e1-ac36-41de-a0f2-2b62ec3480ea	12.939112	100.901932	3
f8726964-4463-4ae2-af8e-61b0686f68b8	12.921523	100.892424	4
