stationId	name	latitude	longitude	sensorType	crossSectionArea	heightRef
2d48c49a-70d0-4724-98e8-1f89259e6715	ปากซอยวัดบุญสัมพันธ์ 2	12.923153	100.904031	ROAD	0	0.3
4e732ed5-dbdc-42d7-a4b6-c403fed4a79d	หน้า Lakeland	12.88412	100.897876	TUNNEL	0	1.8
ed293994-44bd-4ea9-9b24-77bff9916f90	ซอยบุญสัมพันธ์ 2	12.925055	100.904745	TUNNEL	0	0.8
c03b65d0-5c31-4753-a531-ba84efa1e16d	ปากซอยนาเกลือ 10 (หน้าร้านโจ๊กคุณน้อย)	12.968942	100.90076	ROAD	0	0.3
9d8b519a-fa3a-43fd-a760-0cd14ecd5da7	PS7 (หน้า Walking Street)	12.927762	100.875023	TUNNEL	0	2.1
7a21f6c4-8fdb-4dce-8542-759806a6d554	ซอยเฉลิมพระเกียรติ 23	12.929412	100.888719	TUNNEL	0	1.6
54ea51e6-1a22-4d68-bb4f-c883ff731062	ปากซอยโพธิสาร (ฝั่งถนนสุขุมวิท)	12.952176	100.906413	TUNNEL	0	1
88a5080b-f583-4ce2-b7e3-0f5e7b349d8f	พัทยาสาย 2 ซอย 18 (ซอยเย็นสบาย)	12.923763	100.873117	TUNNEL	0	1.7
e3f019f0-0a33-4cf2-a699-7386abfb3c75	SUMP2 (ร่องกลางถนนสุขุมวิทหน้าปั๊มบางจาก)	12.918575	100.896776	ROAD	0	1
0550c7b5-34d3-4569-863f-9b2aa8b9a643	พัทยาสาย 3	12.941127	100.894367	TUNNEL	0	1.8
1b4058bc-0daf-4a87-8cde-bf675bebaad0	MEGA HOME (ร่องกลางสุขุมวิท)	12.904581	100.896446	ROAD	0	0.3
49b46014-3e91-45a5-98c5-85abd8c30a6a	ซอยเพนียดช้าง 8	12.938493	100.898775	TUNNEL	0	0.8
62835477-2f66-4ea2-a2eb-1caa7e7f779c	ซอยพัทยา 6/1 ฝั่งชายหาด	12.942643	100.884765	TUNNEL	0	1.65
